video_id,exec_pseudonym,platform,cited,moment_cited,similarity,audience_size,video_view_count,reactions_count,comments_count,duration_seconds,video_category,video_has_captions,chapter_count,has_chapters,desc_link_count,desc_word_count,published_month,n_sources_evaluated,fetch_ok,timestamp_seconds
U_SAcVGFpag,exec_0001,perplexity,1,0,-0.31,3050000.0,,141521.0,2797.0,,,,10,True,6.0,60.0,2023-10,-1.890847214241104,1,
U_SAcVGFpag,exec_0002,perplexity,1,0,-0.36,3050000.0,,141521.0,2797.0,,,,10,True,6.0,60.0,2023-10,-1.4807404785277742,1,
DRpg-s8G8pk,exec_0003,perplexity,1,0,0.422,10200.0,,9398.0,710.0,,,,7,True,13.0,86.0,2025-04,-1.685793846384439,1,
tE0oL9ydB-s,exec_0004,perplexity,1,0,0.782,49100.0,,1558.0,312.0,,,,7,True,19.0,183.0,2023-08,-1.685793846384439,1,
hRBi-nJApvE,exec_0005,perplexity,1,0,-0.305,282000.0,,2751.0,182.0,,,,0,False,6.0,215.0,2025-08,-1.685793846384439,1,
kSQAPXDqyO4,exec_0006,perplexity,1,0,-0.674,3730.0,,253.0,62.0,,,,4,True,4.0,114.0,2025-02,-1.890847214241104,1,
tp0D1nhb4XE,exec_0007,perplexity,1,0,-0.002,1960.0,,16.0,0.0,,,,0,False,1.0,71.0,2023-04,-1.890847214241104,1,
s-gLvsCvB40,exec_0008,perplexity,1,0,0.694,58800.0,,2504.0,62.0,,,,0,False,0.0,40.0,2025-07,-1.890847214241104,1,
jQSKvd59xQQ,exec_0009,perplexity,1,0,-3.003,1390000.0,,6663.0,421.0,,,,14,True,21.0,239.0,2024-02,-1.4807404785277742,1,
a4TnrmjyG9c,exec_0010,perplexity,1,0,-0.424,2590.0,,24.0,3.0,,,,6,True,4.0,51.0,2025-02,-1.890847214241104,1,
ilrU6rg-tek,exec_0011,perplexity,1,0,0.908,7090.0,,91.0,15.0,,,,0,False,0.0,50.0,2025-09,-1.4807404785277742,1,
uQVR9ahgGTY,exec_0012,perplexity,1,0,-2.473,451000.0,,186.0,13.0,,,,0,False,26.0,97.0,2025-09,-2.095900582097769,1,
4DURE1N_Q74,exec_0013,perplexity,1,0,1.48,24900.0,,30.0,4.0,,,,10,True,10.0,116.0,2025-05,-1.4807404785277742,1,
4DURE1N_Q74,exec_0014,perplexity,1,0,2.29,24900.0,,30.0,4.0,,,,10,True,10.0,116.0,2025-05,-1.890847214241104,1,
omTBa58uVNk,exec_0015,perplexity,1,0,-0.192,8820.0,,37.0,15.0,,,,7,True,12.0,175.0,2024-09,-1.4807404785277742,1,
PlisL-TlKBo,exec_0016,perplexity,1,0,0.726,21200.0,,514.0,46.0,,,,0,False,22.0,124.0,2023-12,-1.4807404785277742,1,
lsEVtqyiaZM,exec_0017,perplexity,1,0,1.159,681000.0,276125.0,3872.0,402.0,1116.0,Sports,False,0,False,19.0,195.0,2025-07,-1.4807404785277742,1,
