test,family,contrast,estimate,lo,hi,n_clusters,n_boot,alpha,sesoi,verdict,n_pairs,n_nan,p_perm,passed,kendall_tau,n_arm_prompts
H_pos,domains,between:hum - cross:coffee|hum,0.3482476834589511,0.3468639012180288,0.3498593229600691,183.0,2000.0,0.1,,,56485.0,0.0,0.0001999600079984003,True,,
H_pla,domains,same-parity - mixed-parity,3.568402240949897e-05,-0.0038641635025919467,0.004335834913494257,143.0,2000.0,0.1,0.1,NULL — practically equivalent to zero,50765.0,0.0,,,,
H1_mat,brands,cross:hum|mat - between:hum,-0.00043297551399049117,-0.007939856792217832,0.006412350439014136,198.0,2000.0,0.1,0.1,NULL — practically equivalent to zero,90090.0,0.0,,,,
H1_mat,domains,cross:hum|mat - between:hum,0.0019199267086590366,-0.0006894443972800451,0.00412713900331523,198.0,2000.0,0.1,0.1,NULL — practically equivalent to zero,90090.0,0.0,,,,
H1_mat,grounding_tokens,cross:hum|mat - between:hum,0.0045212713023212725,-0.0030583420542528495,0.01098116575439364,198.0,2000.0,0.1,0.1,NULL — practically equivalent to zero,90090.0,0.0,,,,
H1_neu2,brands,cross:hum|neu2 - between:hum,-0.04652440096182092,-0.056304375198885225,-0.03685449390038372,183.0,2000.0,0.1,0.1,detectable but NEGLIGIBLE (inside SESOI),79365.0,0.0,,,,
H1_neu2,domains,cross:hum|neu2 - between:hum,0.0027982150869473865,9.002228590819232e-05,0.0053443502102894554,183.0,2000.0,0.1,0.1,detectable but NEGLIGIBLE (inside SESOI),79365.0,0.0,,,,
H1_neu2,grounding_tokens,cross:hum|neu2 - between:hum,-0.006284877094736352,-0.015653363297280655,0.0025065407905643434,183.0,2000.0,0.1,0.1,NULL — practically equivalent to zero,79365.0,0.0,,,,
H2_mat,brand_share,"MAD(mat, hum) over basket",0.04347060347060348,0.04915410515410518,0.07601346801346803,,,,0.05,"INCONCLUSIVE — underpowered, do NOT claim a null",,,,,0.6314285714285713,
H2_neu2,brand_share,"MAD(neu2, hum) over basket",0.1283747733747734,0.1207828282828283,0.1564052059052059,,,,0.05,REAL EFFECT — exceeds SESOI,,,,,-0.49785458672295124,
H3p_mat:f_travel_context,brands,matched-f_travel_context cross - matched between:hum,0.0020194951225685764,-0.005917022400436019,0.009285162100929594,162.0,2000.0,0.1,0.1,NULL — practically equivalent to zero,60030.0,0.0,,,,46.0
H3p_mat:f_usage_music,brands,matched-f_usage_music cross - matched between:hum,-0.0009553820552513637,-0.009289443196715956,0.006392269434318243,143.0,2000.0,0.1,0.1,NULL — practically equivalent to zero,46665.0,0.0,,,,41.0
H3p_neu2:f_travel_context,brands,matched-f_travel_context cross - matched between:hum,-0.041595583583343615,-0.05205389498892325,-0.031434327619721,148.0,2000.0,0.1,0.1,detectable but NEGLIGIBLE (inside SESOI),51910.0,0.0,,,,32.0
H3p_neu2:f_recipient_named,brands,matched-f_recipient_named cross - matched between:hum,-0.0373964875206281,-0.06833615194702589,-0.009867306097720463,39.0,2000.0,0.1,0.1,detectable but NEGLIGIBLE (inside SESOI),3025.0,0.0,,,,17.0
level_between:hum,brands,between:hum,0.13061934011357826,0.12465428299120182,0.13707246700931255,143.0,2000.0,0.1,,,50765.0,0.0,,,,
level_within:hum,brands,within:hum,0.7466083916083915,0.7336107226107226,0.7603974358974358,143.0,2000.0,0.1,,,1430.0,0.0,,,,
level_between:mat,brands,between:mat,0.12997356926649856,0.11990282328805085,0.14105407205779155,55.0,2000.0,0.1,,,7425.0,0.0,,,,
level_cross:hum|mat,brands,cross:hum|mat,0.13018636459958777,0.1241510256088863,0.13659554473918198,198.0,2000.0,0.1,,,39325.0,0.0,,,,
level_between:neu2,brands,between:neu2,0.11484526584526585,0.09815309029110775,0.1338505936767422,40.0,2000.0,0.1,,,3900.0,0.0,,,,
level_cross:hum|neu2,brands,cross:hum|neu2,0.08409493915175734,0.07814300990897792,0.0904651180766154,183.0,2000.0,0.1,,,28600.0,0.0,,,,
level_between:hum,domains,between:hum,0.3482476834589511,0.34683698979953786,0.3498807173752386,143.0,2000.0,0.1,,,50765.0,0.0,,,,
